"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"177","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
"178","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"kömmt","VVFIN","kömmen"
"179","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"vor","APPR","vor"
"180","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Gottes","NN","gott"
"181","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Ohr","NN","ohr"
"182","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Und","KON","und"
"183","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"jedes","PIDAT","jeder"
"184","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Wort","NN","wort"
"185","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"bewaffnet","VVFIN","bewaffnen"
"186","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"er","PPER","er"
"187","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"mit","APPR","mit"
"188","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Blitzen","NN","blitze"
"189","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"190","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Drum","PROAV","drum"
"191","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"wäge","VVFIN","wägen"
"192","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"sie","PPER","sie"
"193","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"gewissenhaft","ADJD","gewissenhaft"
"194","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,".","$.","--"
"195","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"–","XY","–"
"196","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Sprich","VVIMP","sprich"
"197","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"nicht","PTKNEG","nicht"
"198","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,"Sylvester","NN","sylvester"
"199","r0px.0",25616,2232,2448,"Rupert, Graf von Schroffenstein, aus dem Hause Rossitz.",0,",","$,","--"
